Method,Dataset,Seed,Output_Level,PR,RC,AUC,AP,F1
Eadro,MSDS,1,node,0.8693,0.95,0.9997,0.9852,0.9078
Eadro,MSDS,7,node,0.9193,0.9737,0.9939,0.9844,0.9457
Eadro,MSDS,2,node,0.8333,0.9688,0.9968,0.9821,0.896
Eadro,MSDS,9,node,0.9264,0.9557,0.994,0.9864,0.9408
Eadro,MSDS,8,node,0.956,0.9102,0.9916,0.978,0.9325
Eadro,MSDS,3,node,0.962,0.9048,0.9864,0.9768,0.9325
Eadro,MSDS,5,node,0.8883,0.9408,0.9943,0.9766,0.9138
Eadro,MSDS,6,node,0.8869,0.949,0.9949,0.9679,0.9169
Eadro,MSDS,10,node,0.924,0.9576,0.9976,0.9857,0.9405
Eadro,GAIA,8,node,0.2012,0.4639,0.864,0.6322,0.2806
Eadro,GAIA,9,node,0.2565,0.3497,0.8718,0.6454,0.2959
Eadro,GAIA,6,node,0.1981,0.501,0.8691,0.6427,0.284
Eadro,GAIA,3,node,0.2611,0.3196,0.8668,0.6396,0.2874
Eadro,GAIA,5,node,0.2531,0.3469,0.8723,0.6458,0.2926
Eadro,GAIA,2,node,0.2242,0.3828,0.8562,0.632,0.2828
Eadro,GAIA,4,node,0.1829,0.4522,0.845,0.6168,0.2605
Eadro,GAIA,10,node,0.2256,0.3879,0.8617,0.6323,0.2853
Eadro,GAIA,1,node,0.1878,0.5096,0.8603,0.6334,0.2744
Eadro,GAIA,7,node,0.2379,0.3373,0.858,0.6304,0.279
UniDiag,MSDS,10,node,0.9253,0.9758,0.9981,0.958,0.9499
UniDiag,MSDS,7,node,0.9416,0.9539,0.999,0.96,0.9477
UniDiag,MSDS,1,node,0.9315,0.9714,0.9991,0.9742,0.951
UniDiag,MSDS,6,node,0.9207,0.9618,0.9963,0.9514,0.9408
UniDiag,MSDS,9,node,0.9162,0.9684,0.9973,0.969,0.9415
UniDiag,MSDS,2,node,0.9281,0.9688,0.999,0.9629,0.948
UniDiag,MSDS,3,node,0.8901,0.9643,0.9974,0.9516,0.9257
UniDiag,MSDS,5,node,0.931,0.9586,0.9958,0.954,0.9446
UniDiag,MSDS,4,node,0.9461,0.9349,0.9972,0.9604,0.9405
UniDiag,MSDS,8,node,0.949,0.8922,0.9953,0.9565,0.9198
UniDiag,GAIA,9,node,0.8749,0.611,0.9526,0.8764,0.7196
UniDiag,GAIA,7,node,0.8823,0.596,0.9478,0.8683,0.7114
UniDiag,GAIA,10,node,0.8947,0.4227,0.8528,0.7688,0.5742
UniDiag,GAIA,8,node,0.9071,0.5981,0.9497,0.8737,0.7209
UniDiag,GAIA,5,node,0.8245,0.6157,0.951,0.8703,0.705
UniDiag,GAIA,3,node,0.8395,0.6213,0.9486,0.8707,0.7141
UniDiag,GAIA,2,node,0.8921,0.4231,0.8495,0.7691,0.574
UniDiag,GAIA,6,node,0.8628,0.6064,0.9493,0.8667,0.7123
UniDiag,GAIA,1,node,0.8853,0.6,0.9503,0.8708,0.7153
UniDiag,GAIA,4,node,0.8742,0.5909,0.9448,0.866,0.7052
